"CompareValidate","SegmentName","RSIDCleanName","Dimension1","Dimension1Item","Dimension2","Dimension2Item"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundThree_01: Oddspediacom - UserAgent = Mozilla/50 (Windows NT 100; Win64; x64) AppleWebKit/53736 (KHTML,  like Gecko) Chrome/120000 Safari/53736 AND MonitorResolution = 2560 x 1440","Oddspediacom","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","MonitorResolution","2560 x 1440"
"Validate","0188 BOT RULE: Coverscom - Domain = tencentcon","Coverscom","Domain","tencent.con","",""
"Validate","0189 BOT RULE: Oddspediacom - Domain = x-cityua AND MonitorResolution = 1280 x 720","Oddspediacom","Domain","x-city.ua","MonitorResolution","1280 x 720"
"Validate","0190 BOT RULE: Oddspediacom - UserAgent = Mozilla/50 (iPhone; CPU iPhone OS 15_8_3 like Mac OS X) AppleWebKit/605115 (KHTML,  like Gecko) Version/1566 Mobile/15E148 Safari/6041 AND Region = Vaud (Switzerland)","Oddspediacom","UserAgent","Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.6 Mobile/15E148 Safari/604.1","Region","Vaud (Switzerland)"
"Validate","0191 BOT RULE: Oddspediacom - UserAgent = Mozilla/50 (iPhone; CPU iPhone OS 15_8_3 like Mac OS X) AppleWebKit/605115 (KHTML,  like Gecko) Version/1566 Mobile/15E148 Safari/6041 AND Region = Zurich (Switzerland)","Oddspediacom","UserAgent","Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.6 Mobile/15E148 Safari/604.1","Region","Zurich (Switzerland)"
"Validate","0192 BOT RULE: Oddspediacom - Domain = telemachba AND MonitorResolution = 1920 x 1200","Oddspediacom","Domain","telemach.ba","MonitorResolution","1920 x 1200"
"Validate - Special","0193 BOT RULE: Oddspediacom - UserAgent = Mozilla/50 (Windows NT 100; Win64; x64) AppleWebKit/53736 (KHTML, like Gecko) Chrome/121000 Safari/53736 AND Domain = rdsnetro AND Monitor Resolution = 3200 x 1440","Oddspediacom","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Domain","rdsnet.ro AND Monitor Resolution = 3200 x 1440"
