"CompareValidate","SegmentName","RSIDCleanName","Dimension1","Dimension1Item","Dimension2","Dimension2Item"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_17: Oddspediacom - Region = English River (Seychelles) AND MonitorResolution = 1366 x 768","Oddspediacom","Region","English River (Seychelles)","MonitorResolution","1366 x 768"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_22: Onlinecasinosca - Referring Domain = bingcom AND Region = Wyoming (United States)","OnlineCasinoca","Referring Domain","bing.com","Region","Wyoming (United States)"
