DimSegmentId,botRuleName,reportToIgnore
s3938_6964dce4082d6619ae1a13f0,0188BOTRULECoverscomDomain-tencentcon,Domain
s3938_6964dce5078e9c15dabff093,0189BOTRULEOddspediacomDomain-xcityuaANDMonitorResolution-1280x720,Domain
s3938_6964dce61970d97165a022d6,0190BOTRULEOddspediacomUserAgent,UserAgent
s3938_6964dce7078e9c15dabff094,0191BOTRULEOddspediacomUserAgent,UserAgent
s3938_6964dce7078e9c15dabff095,0192BOTRULEOddspediacomDomain-telemachbaANDMonitorResolution-1920x1200,Domain
s3938_6964dd75d666c66937e6f032,0193BOTRULEOddspediacomUserAgent,UserAgent
