dimSegmentId,botRuleName,reportToIgnore
s3938_694a685262fb9877ebbadc38,BOTCOMPARE_FebMay25RoundThree_03MoneyPillar-Domain=amazonawscomANDPageURL=httpsmoneywisecom,Domain
s3938_694a685345508d621783b826,BOTCOMPARE_FebMay25RoundThree_04Casinoorg-MarketingChannel=ProgrammaticClickthrough,MarketingChannel
