DimSegmentId,botRuleName,reportToIgnore
s3938_69735a0d71b7381b8d9a42e2,BOTCOMPARE_AdHocOddspediaDec25RoundFive_10LegendOS=ChromeOS13000ANDMarCha=Internal,OperatingSystem
s3938_69735a0e71b7381b8d9a42e3,BOTCOMPARE_AdHocOddspediaDec25RoundFive_11LegendReg=IlhasDeSotavento(CapeVerde)ANDMarCha=Internal,Region
