dimSegmentId,botRuleName,reportToIgnore
s3938_694a68494126b825f379754a,BOTCOMPARE_FebMay25RoundThree_01coverscom-Domain=amazonawscomANDBrowserType=Mozilla,Domain
s3938_694a684f62fb9877ebbadc37,BOTCOMPARE_FebMay25RoundThree_02Coverscom-OperatingSystem=Linux,OperatingSystem
s3938_694a685262fb9877ebbadc38,BOTCOMPARE_FebMay25RoundThree_03MoneyPillar-Domain=amazonawscomANDPageURL=httpsmoneywisecom,Domain
s3938_694a685345508d621783b826,BOTCOMPARE_FebMay25RoundThree_04Casinoorg-MarketingChannel=ProgrammaticClickthrough,MarketingChannel
