DimSegmentId,botRuleName,reportToIgnore
s3938_696fbab3078e9c15dac01bc4,BOTCOMPARE_AdHocOddspediaDec25RoundFour_01OddspediacomDomain=hwcloudsdnscom,Domain
s3938_696fbab4078e9c15dac01bc5,BOTCOMPARE_AdHocOddspediaDec25RoundFour_02OddspediacomOperatingSystem=OSX10157,OperatingSystem
s3938_696fbab51970d97165a04d9f,BOTCOMPARE_AdHocOddspediaDec25RoundFour_03OddspediacomMarketingChannel=Internal,MarketingChannel
s3938_696fbab61970d97165a04da0,BOTCOMPARE_AdHocOddspediaDec25RoundFour_04OddspediacomMonitorResolution=1366x768,MonitorResolution
s3938_696fbab7078e9c15dac01bc6,BOTCOMPARE_AdHocOddspediaDec25RoundFour_05OddspediacomDomain=zenlayercom,Domain
