DimSegmentId,botRuleName,reportToIgnore
s3938_6958233245508d621783cb41,0172BOTRULE_coverscom_Domain-amazonawscomANDBrowserType-MozillaANDOperatingSystem-Linux,Domain
s3938_695822ab62fb9877ebbaefa4,0173BOTRULE_coverscom_Domain-uni_saarlanddeANDOperatingSystem-Linux,Domain
